[     674ms] [LOG] [HMR] connected @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[     775ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:4401/system/settings:0
[   81366ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[   81430ms] [LOG] [Fast Refresh] done in 135ms @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[   81646ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[   81706ms] [LOG] [Fast Refresh] done in 113ms @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[  132743ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[  132750ms] [LOG] [Fast Refresh] done in 108ms @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[  203707ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[  203775ms] [LOG] [Fast Refresh] done in 133ms @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[  238594ms] [LOG] [HMR] connected @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[  238713ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:4401/api/billing/ai-credits/summary:0
[  238714ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:4401/system/settings:0
[  470314ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[  470417ms] [LOG] [Fast Refresh] done in 81ms @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[  681209ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[  681245ms] [LOG] [Fast Refresh] done in 85ms @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[ 1008575ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[ 1008603ms] [LOG] [Fast Refresh] done in 41ms @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[ 1044478ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[ 1044558ms] [LOG] [Fast Refresh] done in 181ms @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[ 1695173ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[ 1695272ms] [LOG] [Fast Refresh] done in 142ms @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[ 1721644ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[ 1721649ms] [LOG] [Fast Refresh] done in 105ms @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[ 1722152ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[ 1722209ms] [LOG] [Fast Refresh] done in 158ms @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[ 1722309ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[ 1722332ms] [LOG] [Fast Refresh] done in 123ms @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[ 1754988ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=GjtoMreUqfF58cHThSxId' failed: The network connection was lost. @ :0
[ 1756098ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=GjtoMreUqfF58cHThSxId' failed: Could not connect to the server. @ :0
[ 1757158ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=GjtoMreUqfF58cHThSxId' failed: Could not connect to the server. @ :0
[ 1758263ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=GjtoMreUqfF58cHThSxId' failed: Could not connect to the server. @ :0
[ 1759324ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=GjtoMreUqfF58cHThSxId' failed: Could not connect to the server. @ :0
[ 1760355ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=GjtoMreUqfF58cHThSxId' failed: Could not connect to the server. @ :0
[ 1765448ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=GjtoMreUqfF58cHThSxId' failed: Could not connect to the server. @ :0
[ 1770528ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=GjtoMreUqfF58cHThSxId' failed: Could not connect to the server. @ :0
[ 1775609ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=GjtoMreUqfF58cHThSxId' failed: Could not connect to the server. @ :0
[ 1780656ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=GjtoMreUqfF58cHThSxId' failed: Could not connect to the server. @ :0
[ 1785694ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=GjtoMreUqfF58cHThSxId' failed: Could not connect to the server. @ :0
[ 1790727ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=GjtoMreUqfF58cHThSxId' failed: Could not connect to the server. @ :0
[ 1795824ms] [ERROR] WebSocket connection to 'ws://localhost:3301/_next/webpack-hmr?id=GjtoMreUqfF58cHThSxId' failed: Could not connect to the server. @ :0
[ 1795848ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:3301/de/admin/system/ui-components:0
[ 2218805ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/dashboard/overview:0
[ 2218807ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/dashboard/alerts?limit=6:0
[ 2218931ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/api/billing/ai-credits/summary:0
[ 2219010ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/dashboard/overview:0
[ 2219011ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/dashboard/alerts?limit=6:0
[ 2219134ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/api/billing/ai-credits/summary:0
[ 2219614ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/dashboard/overview:0
[ 2219615ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/dashboard/alerts?limit=6:0
[ 2219738ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/api/billing/ai-credits/summary:0
[ 2248939ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/api/billing/ai-credits/summary:0
[ 2249146ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/api/billing/ai-credits/summary:0
[ 2249750ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/api/billing/ai-credits/summary:0
[ 2278814ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/dashboard/overview:0
[ 2278815ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/dashboard/alerts?limit=6:0
[ 2278944ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/api/billing/ai-credits/summary:0
[ 2279019ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/dashboard/overview:0
[ 2279019ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/dashboard/alerts?limit=6:0
[ 2279147ms] [ERROR] Failed to load resource: Could not connect to the server. @ http://localhost:4401/api/billing/ai-credits/summary:0
